# StartTime = 10-06-2025 10:17:22.1798 PM
Time (sec), Vehicle speed (km/h), Acceleration (g), Total Fuel Economy (l/100 km), Engine Power (hp), Fuel Rate (l/hr), Total CO2 (kg), CO2 flow (g/s), Instant Fuel Economy (l/100 km), Instant CO2 rate (g/km), Mass air flow rate (g/s), Fuel/Air commanded equivalence ratio, Barometric pressure (psi), Support of intake manifold absolute pressure data, Intake manifold absolute pressure A (psi), Boost (psi), Engine RPM (RPM), Engine Torque (N•m), Latitude (deg), Longitude (deg)
23.239,32,6.790355E-17,26.602882,9.3298435,2.5758162,11.594891,1.6797876,8.049419,188.9761,7.21,0.999424,14.358736,1,3.2542841,-11.104452,1722,35.93941,44.011536,-78.9461
23.614,32,6.790355E-17,26.59959,8.690978,2.399436,11.595454,1.5647634,7.498232,176.03589,5.4,0.999424,14.358736,1,3.485438,-10.873298,1512.75,30.640472,44.011536,-78.9461
24.011,32,6.790355E-17,26.595518,6.509193,1.797081,11.595929,1.1719449,5.615874,131.8438,4.39,0.999424,14.358736,1,3.1001816,-11.258554,1475,25.547085,44.011536,-78.9461
24.379,32,6.790355E-17,26.591734,5.291733,1.4609603,11.5962715,0.95274776,4.5654974,107.18413,4.78,0.999424,14.358736,1,3.1953626,-11.163373,1497.75,27.394123,44.011467,-78.946075
24.763,32,6.790355E-17,26.58769,5.7618413,1.5907495,11.596676,1.0373882,4.9710884,116.70618,4.64,0.999424,14.358736,1,3.050325,-11.308411,1445.75,27.548225,44.011467,-78.946075
25.146,32,6.790355E-17,26.5838,5.5930843,1.5441585,11.597069,1.0070045,4.825492,113.288,4.81,0.999424,14.358736,1,3.1636357,-11.195101,1459.75,28.28365,44.011395,-78.94605
25.512,31,-0.037495423,26.57995,5.7980037,1.6007333,11.5974455,1.043899,5.002288,117.438644,4.61,0.999424,14.358736,1,3.0185978,-11.340138,1421.25,27.841927,44.011395,-78.94605
25.893,30,-0.07524145,26.576159,5.5569224,1.5341747,11.59782,1.0004936,4.948947,116.18636,4.37,0.999424,14.358736,1,3.04126,-11.317476,1366.5,27.449892,44.011395,-78.94605
26.262,29,-0.074086,26.572506,5.267625,1.4543045,11.598176,0.94840723,4.8476777,113.80887,4.08,0.999424,14.358736,1,3.1183114,-11.240425,1328,26.371264,44.011265,-78.946
26.644,29,-0.03633998,26.568811,4.918057,1.3577945,11.598521,0.88546944,4.682047,109.92035,4.19,0.999424,14.358736,1,3.0095332,-11.349203,1264,28.453506,44.011265,-78.946
27.019,27,-0.07257936,26.565418,5.0506516,1.3944018,11.598849,0.9093424,4.8082786,112.88389,3.34,0.999424,14.358736,1,2.8327682,-11.525968,1192.25,24.046284,44.011204,-78.94597
27.401,26,-0.110346764,26.561884,4.0260563,1.1115279,11.599131,0.7248696,4.116767,96.649284,3.23,0.999424,14.358736,1,3.0457926,-11.312943,1130,24.535387,44.011204,-78.94597
27.786,24,-0.11343561,26.558645,3.8934617,1.0749207,11.599404,0.70099664,4.1343074,97.06107,3.25,0.999424,14.358736,1,3.2452195,-11.113517,1067.5,26.132702,44.011204,-78.94597
28.159,23,-0.11196351,26.555666,3.9175699,1.0815766,11.599658,0.70533717,4.5065656,105.800575,4.05,0.999424,14.358736,1,3.485438,-10.873298,988.25,35.176857,44.011204,-78.94597
28.541,21,-0.10802839,26.552895,4.8818946,1.3478107,11.600001,0.87895864,5.8600426,137.57614,4.3,0.999424,14.358736,1,3.6667354,-10.692,972,37.97266,44.011204,-78.94597
28.915,20,-0.11137959,26.55044,5.183246,1.4310089,11.600365,0.9332154,6.8143234,159.97978,6.7,0.999424,14.358736,1,4.668402,-9.690334,988,58.208538,44.011204,-78.94597
29.305,19,-0.0772794,26.548805,8.076221,2.2297115,11.600886,1.4540797,11.14855,261.73434,8.44,0.999424,14.358736,1,5.9601445,-8.398591,963.25,75.20943,44.01111,-78.94593
29.673,18,-0.0728777,26.547546,10.173628,2.8087711,11.601574,1.8317064,14.782994,347.06018,7.5,0.999424,14.358736,1,6.0145335,-8.344202,965.75,66.66001,44.01111,-78.94593
30.058,16,-0.113815956,26.546196,9.040546,2.495946,11.602237,1.6277012,13.866356,325.54025,7.5,0.999424,14.358736,1,6.4133873,-7.9453487,964.5,66.74641,44.011066,-78.945915
30.416,15,-0.11784625,26.545248,9.040546,2.495946,11.602819,1.6277012,15.59965,366.2328,7.64,0.999424,14.358736,1,6.2048955,-8.15384,969,67.67658,44.011066,-78.945915
30.776,13,-0.11781102,26.544474,9.209303,2.542537,11.603417,1.658085,16.950233,397.9404,7.93,0.999424,14.358736,1,6.8258386,-7.5328975,979.25,69.510185,44.011066,-78.945915
31.137,11,-0.1575825,26.54405,9.55887,2.6390467,11.604043,1.7210227,20.300344,476.5909,8.06,0.999424,14.358736,1,6.911955,-7.446781,995.25,69.51391,44.011005,-78.945885
31.497,9,-0.1577007,26.543913,9.715573,2.6823099,11.604666,1.7492362,24.384617,572.4773,7.56,0.999424,14.358736,1,6.2094283,-8.149308,956.5,67.843094,44.011005,-78.945885
31.855,7,-0.15730716,26.543982,9.11287,2.5159135,11.605257,1.6407229,27.954573,656.2891,5.66,0.999424,14.358736,1,5.6338096,-8.724926,875.5,55.49184,44.011005,-78.945885
32.215,4,-0.19676477,26.543997,6.8225985,1.8836071,11.6057,1.2283719,26.908653,631.7341,6.24,0.999424,14.358736,1,4.9630103,-9.395726,797,67.204,44.01099,-78.94588
32.584,2,-0.19684216,26.544548,7.521734,2.076627,11.60619,1.3542475,51.915634,1218.8226,5.64,0.999424,14.358736,1,6.372596,-7.9861403,759.75,63.720215,44.01099,-78.94588
32.965,0,-0.1513141,26.545263,6.7984905,1.8769513,11.606627,1.2240313,93.847496,2203.2563,4.71,0.999424,14.358736,1,6.0190663,-8.33967,778.25,51.948215,44.01099,-78.94588
33.355,0,-0.07258364,26.546177,5.677463,1.567454,11.607026,1.0221964,0,0,5.38,0.999424,14.358736,1,5.874028,-8.484708,790.25,58.436825,44.010986,-78.94588
33.758,0,5.658629E-17,26.547276,6.485085,1.7904252,11.607507,1.1676043,0,0,5.15,0.999424,14.358736,1,6.0734553,-8.285281,781,56.601124,44.010986,-78.94588
34.136,0,5.658629E-17,26.548216,6.2078414,1.7138828,11.607918,1.1176882,0,0,5.13,0.999424,14.358736,1,5.8241715,-8.534564,775.25,56.799488,44.010986,-78.94588
34.528,0,5.658629E-17,26.549212,6.1837335,1.707227,11.608354,1.1133476,0,0,5.37,0.999424,14.358736,1,6.005469,-8.353268,775.75,59.418453,44.010986,-78.94588
34.924,0,5.658629E-17,26.550293,6.473031,1.7870972,11.608826,1.1654341,0,0,15.87,0.999424,14.358736,1,14.204634,-0.1541026,1311.75,103.847176,44.010986,-78.94588
35.315,0,5.658629E-17,26.553236,19.129795,5.2814217,11.610113,3.4442158,0,0,34.14,0.999424,14.358736,1,13.048864,-1.309872,1963.25,149.26457,44.010986,-78.94588
35.730,0,5.658629E-17,26.560472,41.152565,11.361546,11.613277,7.409296,0,0,39.53,0.999424,14.358736,1,12.799581,-1.5591557,2008,168.9787,44.010986,-78.94588
36.092,0,5.658629E-17,26.567696,47.649704,13.155299,11.616435,8.57907,0,0,41.63,0.999424,14.358736,1,13.348004,-1.0107317,2082,171.63052,44.010986,-78.94588
36.491,0,5.658629E-17,26.576082,50.181057,13.854163,11.620102,9.034827,0,0,52.88,0.999424,14.213698,1,14.879966,0.6662671,2266,200.30896,44.010986,-78.94588
36.858,0,5.658629E-17,26.585897,63.741875,17.598082,11.624393,11.476378,0,0,60.92,0.999424,14.213698,1,15.8091135,1.5954151,2338,223.6579,44.010986,-78.94588
37.259,0,5.658629E-17,26.597439,73.43334,20.273737,11.62944,13.221274,0,0,78.34,0.999424,14.213698,1,21.574364,7.3606653,2510.5,267.85034,44.010986,-78.94588
37.631,0,5.658629E-17,26.611834,94.43152,26.070986,11.635734,17.001883,0,0,122.11,0.999424,14.213698,1,28.649487,14.435787,3032.25,345.66473,44.010986,-78.94588
38.024,0,5.658629E-17,26.637527,147.19214,40.637325,11.646968,26.501146,0,0,136.26,0.999424,14.213698,1,26.265429,12.051729,3060.25,382.1909,44.010986,-78.94588
